controller,cell,time_s,pack_current_A,balancing_current_A,cell_current_A,voltage_V,soc,positive_gradient_mol_m3,total_overpotential_V
Uncontrolled,Cell 1,0.0,2.5,0.0,2.5,3.982064065887455,0.8,0.0,-0.060014630586120374
Uncontrolled,Cell 2,0.0,2.5,0.0,2.5,3.945280337275225,0.76,-3.637978807091713e-12,-0.05845160113107496
Uncontrolled,Cell 3,0.0,2.5,0.0,2.5,3.9095096089426438,0.72,0.0,-0.05724692476410312
Uncontrolled,Cell 4,0.0,2.5,0.0,2.5,3.9637701239323655,0.78,0.0,-0.05918350596294818
Uncontrolled,Cell 1,10.0,2.5,0.0,2.5,3.972390945979345,0.7986111111111112,371.43896996434705,-0.059768570668630006
Uncontrolled,Cell 2,10.0,2.5,0.0,2.5,3.9356908875930343,0.7585827664399093,371.4393414412225,-0.05826100588793959
Uncontrolled,Cell 3,10.0,2.5,0.0,2.5,3.9005850174999863,0.7185224586288416,371.43978981868713,-0.05710188365473749
Uncontrolled,Cell 4,10.0,2.5,0.0,2.5,3.953919825791109,0.7785970819304153,371.43914657641653,-0.05896668053497248
Uncontrolled,Cell 1,20.0,2.5,0.0,2.5,3.9660972051956547,0.7972222222222223,601.2059837551169,-0.05964587556656797
Uncontrolled,Cell 2,20.0,2.5,0.0,2.5,3.9296861424720286,0.7571655328798186,601.2054827769316,-0.058166137021343024
Uncontrolled,Cell 3,20.0,2.5,0.0,2.5,3.895038819818678,0.7170449172576832,601.2040588739037,-0.05703002942452575
Uncontrolled,Cell 4,20.0,2.5,0.0,2.5,3.947665187341252,0.7771941638608306,601.2058406533906,-0.05885862705011546
Uncontrolled,Cell 1,30.0,2.5,0.0,2.5,3.9612476344743626,0.7958333333333334,772.9432293228056,-0.05954882878667804
Uncontrolled,Cell 2,30.0,2.5,0.0,2.5,3.9251471433766647,0.7557482993197279,772.9422599004065,-0.058091178734828997
Uncontrolled,Cell 3,30.0,2.5,0.0,2.5,3.8908086867981164,0.7155673758865247,772.9417121635015,-0.056973375255627415
Uncontrolled,Cell 4,30.0,2.5,0.0,2.5,3.9429082473886896,0.7757912457912459,772.9426897282065,-0.05877319736066864
Uncontrolled,Cell 1,40.0,2.5,0.0,2.5,3.9571674746125933,0.7944444444444445,914.1557647250665,-0.059464334211704085
Uncontrolled,Cell 2,40.0,2.5,0.0,2.5,3.9213751185554684,0.7543310657596372,914.1582888839657,-0.05802597430612376
Uncontrolled,Cell 3,40.0,2.5,0.0,2.5,3.8872543808289963,0.7140898345153663,914.1602608459107,-0.05692418225626618
Uncontrolled,Cell 4,40.0,2.5,0.0,2.5,3.9389412599522937,0.7743883277216612,914.157082019763,-0.05869884400647207
Uncontrolled,Cell 1,50.0,2.5,0.0,2.5,3.953575405741409,0.7930555555555556,1036.1622436641192,-0.0593877543929316
Uncontrolled,Cell 2,50.0,2.5,0.0,2.5,3.9180832758563158,0.7529138321995464,1036.1593776084374,-0.0579669280893547
Uncontrolled,Cell 3,50.0,2.5,0.0,2.5,3.8841159364853306,0.7126122931442079,1036.1563744910927,-0.056879709546857234
Uncontrolled,Cell 4,50.0,2.5,0.0,2.5,3.9354718864376146,0.7729854096520765,1036.1608266481708,-0.058631478817836424
Uncontrolled,Cell 1,60.0,2.5,0.0,2.5,3.950324291067963,0.7916666666666667,1144.8423568521976,-0.05931662961727389
Uncontrolled,Cell 2,60.0,2.5,0.0,2.5,3.9151223470821352,0.7514965986394557,1144.844529033664,-0.05791212644957313
Uncontrolled,Cell 3,60.0,2.5,0.0,2.5,3.8812575025325553,0.7111347517730495,1144.84700342032,-0.056838495551507905
Uncontrolled,Cell 4,60.0,2.5,0.0,2.5,3.9323477608042383,0.7715824915824918,1144.8434001069036,-0.058568929393886984
Uncontrolled,Cell 1,70.0,2.5,0.0,2.5,3.9473279781349504,0.7902777777777779,1243.6193599109356,-0.05924954642082071
Uncontrolled,Cell 2,70.0,2.5,0.0,2.5,3.912405993758442,0.750079365079365,1243.6206848516704,-0.05786047837723128
Uncontrolled,Cell 3,70.0,2.5,0.0,2.5,3.8786011772920603,0.7096572104018911,1243.621162377538,-0.05679971317721888
Uncontrolled,Cell 4,70.0,2.5,0.0,2.5,3.9294802731981315,0.7701795735129071,1243.6201100613725,-0.058509952334950405
Uncontrolled,Cell 1,80.0,2.5,0.0,2.5,3.944534263223599,0.788888888888889,1334.5553063588814,-0.059185633387744796
Uncontrolled,Cell 2,80.0,2.5,0.0,2.5,3.9098814452385424,0.7486621315192743,1334.552331380779,-0.0578113069889602
Uncontrolled,Cell 3,80.0,2.5,0.0,2.5,3.8760989574652718,0.7081796690307327,1334.5503497018653,-0.05676284491590097
Uncontrolled,Cell 4,80.0,2.5,0.0,2.5,3.9268154722321755,0.7687766554433224,1334.5536432984663,-0.058453778863953115
Uncontrolled,Cell 1,90.0,2.5,0.0,2.5,3.941905368169651,0.7875000000000001,1419.1340230595197,-0.05912426221187473
Uncontrolled,Cell 2,90.0,2.5,0.0,2.5,3.9075106374271464,0.7472448979591836,1419.1322294477213,-0.05776412297151871
Uncontrolled,Cell 3,90.0,2.5,0.0,2.5,3.873716119324226,0.7067021276595743,1419.130464936963,-0.056727517660677566
Uncontrolled,Cell 4,90.0,2.5,0.0,2.5,3.924314408047796,0.7673737373737377,1419.1331220595275,-0.05839985356595802
Uncontrolled,Cell 1,100.0,2.5,0.0,2.5,3.9394136245030285,0.7861111111111112,1498.4362194502173,-0.05906497489618446
Uncontrolled,Cell 2,100.0,2.5,0.0,2.5,3.905266017543116,0.7458276643990929,1498.4369312608105,-0.0577185725042527
Uncontrolled,Cell 3,100.0,2.5,0.0,2.5,3.8714274892084686,0.7052245862884159,1498.4375560564004,-0.05669346230900621
Uncontrolled,Cell 4,100.0,2.5,0.0,2.5,3.921948784312298,0.765970819304153,1498.4365764668073,-0.05834777354678306
Uncontrolled,Cell 1,110.0,2.5,0.0,2.5,3.937038904395829,0.7847222222222223,1573.2418709850135,-0.059007438082939116
Uncontrolled,Cell 2,110.0,2.5,0.0,2.5,3.9031274643774085,0.7444104308390022,1573.2443671091423,-0.05767439792745514
Uncontrolled,Cell 3,110.0,2.5,0.0,2.5,3.869214686609431,0.7037470449172575,1573.246539647469,-0.05666048346450552
